SP Distance (m),simulated V
0,0
0.110819,0
0.207719,-0.163851
0.207719,-0.237819
0.207719,-0.456031
0.207719,-0.58962
0.207719,-0.874838
0.207719,-1.085192
0.304618,-1.45087
0.415438,-1.73167
0.562647,-2.150323
0.785893,-2.500263
1.677728,-2.994315
2.832188,-3.403746
3.316686,-3.946458
3.607384,-4.40325
3.898082,-4.989374
4.301211,-5.483751
4.612316,-6.08868
4.999914,-6.575961
5.311019,-7.170285
6.419213,-7.662133
7.6286,-8.246228
8.315889,-8.706248
9.091085,-9.242567
9.86628,-9.64568
10.738375,-10.111157
11.617483,-10.432431
12.586477,-10.803873
14.621365,-11.031412
15.784158,-11.316676
16.993545,-11.47117
18.463838,-11.683018
19.954866,-11.733908
21.617,-11.910644
23.279134,-11.914501
25.02684,-12.040766
28.323283,-11.992398
30.067473,-12.081607
31.811662,-12.022607
33.462676,-12.116926
35.210382,-12.070675
36.668092,-12.154063
38.121583,-12.094003
39.671973,-12.190778
41.129683,-12.092939
43.592391,-12.216177
45.062683,-12.176771
46.438855,-12.298248
47.815027,-12.225673
49.133319,-12.326331
50.374575,-12.237967
51.687941,-12.32082
53.245165,-12.225971
54.802388,-12.304763
56.392673,-12.208397
57.982958,-12.285232
60.968618,-12.167637
62.488558,-12.211152
63.873725,-12.132082
65.393665,-12.237349
66.94721,-12.193487
68.46715,-12.322298
70.201507,-12.30189
71.858337,-12.456777
73.589796,-12.461964
77.003559,-12.63707
78.691077,-12.653933
80.378595,-12.85319
81.942124,-12.894134
83.520595,-13.118613
85.11975,-13.184511
86.589439,-13.428829
89.466333,-13.504981
90.7781,-13.754362
92.163268,-13.840161
93.475035,-14.099953
95.02858,-14.202458
96.202602,-14.489524
98.687848,-14.608144
99.897325,-14.91962
101.071347,-15.075007
102.280823,-15.434897
103.389649,-15.64577
104.428525,-16.068159
105.638001,-16.34102
108.123248,-16.828034
109.57462,-17.157004
110.853771,-17.672038
119.562003,-18.008744
120.77148,-18.51497
122.083247,-18.816371
124.604131,-19.261947
126.019474,-19.480076
127.228951,-19.810262
130.059637,-19.912151
131.371404,-20.131658
134.274149,-20.117842
141.828339,-20.227786
144.859261,-20.124938
146.398544,-20.151259
147.843165,-19.966789
149.287787,-19.942561
150.780619,-19.740553
152.370907,-19.729022
158.52804,-19.580261
160.118329,-19.626806
161.708618,-19.533136
163.298906,-19.634285
164.743528,-19.599841
166.282811,-19.771278
169.216971,-19.821821
170.756255,-20.09436
172.249087,-20.231149
173.64411,-20.556094
175.183393,-20.712071
183.855192,-21.032441
186.742578,-21.175793
188.296124,-21.497577
189.788957,-21.642398
191.381306,-21.960266
192.934853,-22.096696
196.079495,-22.399666
197.772763,-22.504337
199.365112,-22.757902
201.199275,-22.811812
202.994632,-23.025608
204.726091,-23.057058
206.457551,-23.257747
208.189011,-23.261563
211.710789,-23.428698
213.398307,-23.396388
214.997463,-23.527795
216.575934,-23.461683
218.154405,-23.566729
219.732876,-23.495016
222.780963,-23.60325
224.250651,-23.534027
225.81418,-23.637176
228.721438,-23.554217
230.284966,-23.641448
231.738595,-23.551192
233.302124,-23.638066
234.646004,-23.547635
236.099633,-23.631015
237.553261,-23.533681
239.00689,-23.607626
240.460519,-23.513402
243.237773,-23.607745
244.678425,-23.543858
246.122332,-23.680994
247.452164,-23.668779
248.892816,-23.858954
250.226174,-23.897435
251.559533,-24.130417
252.889365,-24.212935
255.445568,-24.48552
256.778926,-24.591787
258.001784,-24.865764
259.114206,-24.951871
260.226628,-25.187788
261.228699,-25.225385
262.341121,-25.413086
264.356941,-25.407653
265.359011,-25.559584
266.361082,-25.524537
267.377111,-25.653478
268.284601,-25.610671
269.176436,-25.748295
270.109436,-25.732293
318.819372,-25.907254
371.107153,-25.933487
371.998988,-26.148884
373.001058,-26.206028
373.998432,-26.444039
376.216937,-26.514469
377.329359,-26.760272
378.548372,-26.830697
379.88173,-27.067772
381.104588,-27.126944
382.434421,-27.345833
383.778301,-27.382992
385.001159,-27.582615
386.330991,-27.600044
387.553849,-27.782973
388.883682,-27.787682
391.669376,-27.96294
394.45507,-27.967527
395.908698,-28.147726
397.362327,-28.157729
398.832016,-28.347486
400.285645,-28.373187
401.777528,-28.582055
403.138764,-28.628719
406.098834,-28.862144
407.46007,-28.93222
408.80395,-29.185184
410.165186,-29.273608
411.526422,-29.54749
412.887658,-29.660324
414.140854,-29.962336
415.50209,-30.107853
418.008483,-30.442995
419.26168,-30.621046
420.540832,-30.9864
421.794029,-31.192962
423.047226,-31.589445
424.300422,-31.827164
425.534745,-32.251333
426.680434,-32.506491
429.057541,-32.934962
430.182553,-33.192739
431.43575,-33.618933
432.560762,-33.875554
