%SP Distance (m),simulated V
0,-17.25533054
0.110819,-17.25491214
0.207719,-17.25454599
0.207719,-17.25454599
0.207719,-17.25454599
0.207719,-17.25454599
0.207719,-17.25454599
0.207719,-17.25454599
0.304618,-17.25417958
0.415438,-17.25376018
0.562647,-17.2532025
0.785893,-17.25235555
1.677728,-17.24895739
2.832188,-17.24452337
3.316686,-17.24265064
3.607384,-17.24152361
3.898082,-17.24039403
4.301211,-17.23882335
4.612316,-17.23760784
4.999914,-17.23608937
5.311019,-17.23486725
6.419213,-17.2304899
7.6286,-17.22566973
8.315889,-17.22291027
9.091085,-17.2197802
9.86628,-17.2166313
10.738375,-17.21306616
11.617483,-17.20944797
12.586477,-17.20543127
14.621365,-17.19689785
15.784158,-17.19196121
16.993545,-17.18677965
18.463838,-17.18041499
19.954866,-17.17388671
21.617,-17.16652062
23.279134,-17.15906001
25.02684,-17.15111211
28.323283,-17.13582858
30.067473,-17.12758463
31.811662,-17.11923007
33.462676,-17.11121862
35.210382,-17.10262728
36.668092,-17.09537335
38.121583,-17.0880597
39.671973,-17.08016864
41.129683,-17.07266379
43.592391,-17.05979396
45.062683,-17.05199454
46.438855,-17.04461486
47.815027,-17.03715748
49.133319,-17.02994013
50.374575,-17.02307802
51.687941,-17.01574633
53.245165,-17.00695786
54.802388,-16.99806463
56.392673,-16.98887315
57.982958,-16.97956973
60.968618,-16.96179598
62.488558,-16.9525913
63.873725,-16.94410948
65.393665,-16.9346988
66.94721,-16.92496673
68.46715,-16.91533295
70.201507,-16.90420283
71.858337,-16.89343174
73.589796,-16.8820289
77.003559,-16.85910005
78.691077,-16.8475426
80.378595,-16.83583482
81.942124,-16.8248513
83.520595,-16.8136284
85.11975,-16.80211892
86.589439,-16.7914158
89.466333,-16.7701111
90.7781,-16.76023909
92.163268,-16.74970573
93.475035,-16.73962619
95.02858,-16.72755597
96.202602,-16.71833777
98.687848,-16.69854542
99.897325,-16.68877438
101.071347,-16.67920162
102.280823,-16.66924802
103.389649,-16.66004008
104.428525,-16.65134059
105.638001,-16.64112337
108.123248,-16.61982368
109.57462,-16.60719199
110.853771,-16.59593952
119.562003,-16.51625148
120.77148,-16.50474395
122.083247,-16.49213777
124.604131,-16.46753985
126.019474,-16.45351139
127.228951,-16.4413972
130.059637,-16.41258237
131.371404,-16.39900585
134.274149,-16.36844869
141.828339,-16.28547727
144.859261,-16.25072431
146.398544,-16.23274105
147.843165,-16.21565517
149.287787,-16.19836437
150.780619,-16.18027808
152.370907,-16.16076306
158.52804,-16.08271658
160.118329,-16.06189439
161.708618,-16.04079067
163.298906,-16.0194007
164.743528,-15.99971779
166.282811,-15.97847661
169.216971,-15.93720322
170.756255,-15.91513073
172.249087,-15.89344214
173.64411,-15.87291933
175.183393,-15.8499834
183.855192,-15.71481496
186.742578,-15.66745036
188.296124,-15.64145353
189.788957,-15.61612694
191.381306,-15.58873169
192.934853,-15.56161861
196.079495,-15.50554252
197.772763,-15.47466802
199.365112,-15.44518807
201.199275,-15.41068466
202.994632,-15.3763321
204.726091,-15.34264714
206.457551,-15.30840497
208.189011,-15.27359318
211.710789,-15.20097492
213.398307,-15.16529167
214.997463,-15.13093045
216.575934,-15.09648085
218.154405,-15.06149046
219.732876,-15.02594757
222.780963,-14.95570431
224.250651,-14.92105629
225.81418,-14.88362352
228.721438,-14.81240661
230.284966,-14.77321279
231.738595,-14.73619715
233.302124,-14.69574861
234.646004,-14.66044552
236.099633,-14.62168835
237.553261,-14.58232495
239.00689,-14.5423417
240.460519,-14.50172462
243.237773,-14.42230792
244.678425,-14.38014491
246.122332,-14.33720363
247.452164,-14.2970362
248.892816,-14.25283649
250.226174,-14.21127941
251.559533,-14.16908388
252.889365,-14.12634973
255.445568,-14.04232761
256.778926,-13.99748978
258.001784,-13.95574049
259.114206,-13.91722888
260.226628,-13.87819932
261.228699,-13.8425894
262.341121,-13.80254634
264.356941,-13.72857759
265.359011,-13.69111555
266.361082,-13.65318234
267.377111,-13.61423052
268.284601,-13.57901465
269.176436,-13.54400837
270.109436,-13.50695659
318.819372,-10.65003475
371.107153,-8.075014383
371.998988,-14.34727697
373.001058,-24.07500731
373.998432,-33.32071964
376.216937,-42.93251339
377.329359,-44.10532919
378.548372,-44.38528518
379.88173,-44.17884849
381.104588,-43.79867774
382.434421,-43.3094322
383.778301,-42.79377953
385.001159,-42.32838627
386.330991,-41.8362619
387.553849,-41.39962045
388.883682,-40.94249063
391.669376,-40.03940174
394.45507,-39.19615687
395.908698,-38.77408419
397.362327,-38.36132654
398.832016,-37.95134554
400.285645,-37.55114584
401.777528,-37.1439972
403.138764,-36.77413178
406.098834,-35.96879293
407.46007,-35.59521646
408.80395,-35.22277274
410.165186,-34.84067854
411.526422,-34.45255355
412.887658,-34.05724065
414.140854,-33.68595779
415.50209,-33.27361948
418.008483,-32.48608754
419.26168,-32.0768572
420.540832,-31.64746307
421.794029,-31.2146748
423.047226,-30.76941199
424.300422,-30.31141776
425.534745,-29.84794839
426.680434,-29.40722239
429.057541,-28.4651244
430.182553,-28.01030099
431.43575,-27.50215687
432.560762,-27.05012762
433.685774,-26.60926414
434.920097,-26.14985678
435.887681,-25.81812286
437.110539,-25.45261801
438.235552,-25.19149613
440.681268,-25.01193135
441.915591,-25.21387169
443.138449,-25.67629879
444.372772,-26.45759531
445.497784,-27.47586521
446.720642,-28.92408347
447.845655,-30.55093415
449.079977,-32.6016607
450.192399,-34.60924792
452.42777,-38.74073117
453.540192,-40.68118491
454.652614,-42.46295678
455.654684,-43.90314027
456.779697,-45.31951207
457.777071,-46.3978177
458.779141,-47.32122903
460.89361,-48.80174871
461.89568,-49.31348451
463.008102,-49.76310288
464.010173,-50.07633533
465.122595,-50.33751167
467.230391,-50.63141463
468.342813,-50.70221644
469.455235,-50.7268904
471.680079,-50.66631704
472.805092,-50.59131749
474.039414,-50.48180871
475.164427,-50.36097192
476.289439,-50.22301886
477.414452,-50.07025708
478.539464,-49.90456852
480.700058,-49.55550358
481.845747,-49.35621542
483.1249,-49.12363502
484.404053,-48.88153188
485.683206,-48.63099539
487.17509,-48.32969585
488.560259,-48.04307765
489.975606,-47.74609278
491.529156,-47.42019012
492.944502,-47.13040367
495.809813,-46.61524888
497.160382,-46.44699638
498.611759,-46.37244832
499.92353,-46.45878013
501.235301,-46.77411766
502.585869,-47.4568572
505.246727,-50.42506976
506.641756,-52.99038349
507.992325,-55.9016541
509.342893,-58.76158187
510.594346,-60.95313663
511.944915,-62.60194789
514.638675,-63.93176791
515.937985,-63.97167952
517.237295,-63.80733744
518.536605,-63.52675033
519.835915,-63.18592831
521.188342,-62.80379553
522.540769,-62.41587545
525.191267,-61.6817036
526.635898,-61.30690355
527.960796,-60.98120594
530.75967,-60.34950102
532.252509,-60.0420473
533.55182,-59.78977566
534.946849,-59.5336619
536.341879,-59.29169236
539.03564,-58.86051046
540.287094,-58.6747735
541.738472,-58.46980574
543.050244,-58.29349961
544.301698,-58.13265087
545.686868,-57.96240717
546.966021,-57.8119768
548.351191,-57.65592682
549.604389,-57.52048668
552.326862,-57.24347827
553.688098,-57.11310221
555.141727,-56.9793697
556.611417,-56.84957166
557.972654,-56.73391461
559.426283,-56.61496915
560.879912,-56.50046796
563.555417,-56.30051389
564.899297,-56.20499848
567.566013,-56.02443179
568.788871,-55.94537778
570.132752,-55.86105722
571.35561,-55.78655993
572.578468,-55.71410043
575.018419,-55.57530253
576.241277,-55.50849195
577.464136,-55.44342952
578.683148,-55.38024948
580.01298,-55.31316723
581.231993,-55.25330346
583.891658,-55.12784244
585.114516,-55.07242124
586.447874,-55.01354304
587.670732,-54.96092091
589.00409,-54.90499596
590.337448,-54.85053765
591.791078,-54.79278277
593.124436,-54.74124029
595.921903,-54.63736947
597.283139,-54.58883143
598.752829,-54.53783908
600.206459,-54.48880266
601.676148,-54.44059495
603.129778,-54.39422851
604.491014,-54.35196003
605.960704,-54.30753791
606.057607,-54.30465241
608.802409,-54.22508984
610.081563,-54.18940618
627.609088,-53.77912406
628.495642,-53.76185925
631.326477,-53.70873764
632.259479,-53.6918839
633.19248,-53.67534732
635.164088,-53.6414268
636.097089,-53.62585114
637.135967,-53.60886141
638.174845,-53.59223907
639.142432,-53.57708335
640.705204,-53.55325851
642.628595,-53.52502282
643.644624,-53.51058219
644.714671,-53.49572276
645.827093,-53.48064941
646.865971,-53.46691283
648.119169,-53.45077371
650.369194,-53.42295951
651.385223,-53.41088041
652.530913,-53.3976126
653.643335,-53.38508345
654.659365,-53.37394049
655.893688,-53.36078473
657.0187,-53.34915391
659.377966,-53.32585877
660.65712,-53.3138387
661.879978,-53.30274208
663.004991,-53.29286971
664.117413,-53.28342116
665.340271,-53.27339001
666.56313,-53.26372681
667.785988,-53.2544273
670.010832,-53.23842715
671.123254,-53.23086575
672.329438,-53.22299299
673.331508,-53.21670786
674.540992,-53.20942744
675.543062,-53.20364643
676.434897,-53.19869092
677.436968,-53.19333412
678.328803,-53.18875318
680.125586,-53.18005221
681.127656,-53.17550333
682.129727,-53.17116974
683.23792,-53.16662588
684.456932,-53.16192674
685.786764,-53.15715452
687.005777,-53.15310159
688.339135,-53.14901746
689.668967,-53.14530395
692.481499,-53.13861883
693.951189,-53.13574896
695.443074,-53.13326792
696.828245,-53.13135056
698.32013,-53.1296977
699.705301,-53.12854248
701.12065,-53.12773628
702.535999,-53.12730521
703.951348,-53.12724629
705.366696,-53.12755662
706.67847,-53.12817151
709.521634,-53.13057451
710.872207,-53.13222444
712.267241,-53.13426941
713.718622,-53.13676207
715.113656,-53.13950663
716.652954,-53.14292906
718.192252,-53.14676229
721.611585,-53.15673409
723.347821,-53.16255993
725.230186,-53.16945131
727.112551,-53.1769373
728.994917,-53.18501423
730.824152,-53.19342604
732.748275,-53.2028696
736.356347,-53.22221255
738.136146,-53.23253455
739.915945,-53.24336933
741.551935,-53.25377929
743.236007,-53.26494461
745.015806,-53.27723859
746.651796,-53.28898573
749.878985,-53.31340844
751.418284,-53.32564034
753.008592,-53.33867201
754.45323,-53.35085697
756.043538,-53.36465212
757.582837,-53.37838522
759.081709,-53.39211698
762.112659,-53.42096739
763.605504,-53.43570957
764.956077,-53.44934954
766.448921,-53.46476107
769.250498,-53.49463278
770.601071,-53.50947611
772.016421,-53.52534093
773.366994,-53.54077538
774.64615,-53.5556603
775.957924,-53.57119455
778.516235,-53.60227799
779.795391,-53.61821105
780.941081,-53.63270369
782.194279,-53.64879701
783.319292,-53.66345889
784.444304,-53.67832432
785.589995,-53.69367265
786.715007,-53.70895031
787.84002,-53.72443296
788.965033,-53.74012111
789.981063,-53.75446656
791.106075,-53.77054731
793.220543,-53.80133226
794.236573,-53.81638636
795.238643,-53.83140054
796.130478,-53.84490288
797.146507,-53.86044643
798.445825,-53.88057444
800.449966,-53.91217509
801.465995,-53.92845357
802.468066,-53.94467928
803.580487,-53.96289129
804.966933,-53.98588462
805.853487,-54.00075995
807.739906,-54.0328618
808.741976,-54.05016463
809.633811,-54.06571082
810.631185,-54.0832612
811.628558,-54.10098592
812.630629,-54.11897054
814.5245,-54.15344643
815.52657,-54.17194663
816.434061,-54.18885609
