DCx,X,Z,K,Theta,q
1483,19536,-1.298000,0.000367531,153.0836213,2.489894659
1488,19531,-1.298000,0.000369644,85.93255404,1.701664349
1493,19526,-1.298000,0.000372242,278.7976654,0.780130171
1498,19521,-1.298000,0.000375163,71.97730644,2.353596148
1503,19516,-1.298000,0.00037675,120.0204078,0.507616002
1508,19511,-1.298000,0.000380076,124.5868618,0.822775036
1513,19506,-1.298000,0.000385844,158.1407752,0.014709583
1518,19501,-1.298000,0.00038796,302.5781005,1.192683722
1523,19496,-1.298000,0.000388417,287.3260279,0.07965466
1528,19491,-1.298000,0.000389043,239.6756963,2.564097149
1533,19486,-1.298000,0.000389842,91.20749809,0.614675067
1538,19481,-1.298000,0.000390297,125.7319656,2.581051743
1543,19476,-1.298000,0.000390418,163.8754485,0.168374126
1548,19471,-1.298000,0.00039028,254.4206398,0.670535317
1553,19466,-1.298000,0.000389406,179.662493,0.135841553
1558,19461,-1.298000,0.000387671,125.4273238,2.252975319
1563,19456,-1.298000,0.000385338,290.3294368,2.09416914
1568,19451,-1.298000,0.000383279,62.32495986,2.756363667
1573,19446,-1.298000,0.000381886,77.36679462,2.726767813
1578,19441,-1.298000,0.000381289,304.3369785,2.41657157
1583,19436,-1.298000,0.000381253,155.9610405,2.999032336
1588,19431,-1.298000,0.000382043,338.4128273,2.402298827
1593,19426,-1.298000,0.0003837,281.6593508,0.968745998
1598,19421,-1.298000,0.000385317,298.1094362,0.075433752
1603,19416,-1.298000,0.000386419,99.10538447,2.198470414
1608,19411,-1.298000,0.000387611,139.7342686,1.418360114
1613,19406,-1.298000,0.000388957,336.0947615,1.177765206
1618,19401,-1.298000,0.000390287,160.536763,2.580042083
1623,19396,-1.298000,0.000391573,94.74218574,0.172384947
1628,19391,-1.298000,0.000392811,265.3563411,1.153635416
1633,19386,-1.298000,0.000393837,199.9840112,0.425521261
1638,19381,-1.298000,0.000394563,182.7798974,0.137044193
1643,19376,-1.298000,0.000395005,124.8002435,2.093984199
1648,19371,-1.298000,0.000395127,1.622713546,2.740534506
1653,19366,-1.298000,0.000394714,101.7728868,1.150636897
1658,19361,-1.298000,0.000394419,304.2931285,0.729332452
1663,19356,-1.298000,0.00039357,113.3334581,2.721293198
1668,19351,-1.298000,0.000393409,338.8751895,2.106053739
1673,19346,-1.298000,0.000393476,240.5756063,2.686913661
1678,19341,-1.298000,0.000393609,3.692136822,2.843920678
1683,19336,-1.298000,0.000393402,265.1794253,2.810075875
1688,19331,-1.298000,0.000391594,137.0706183,2.990359893
1693,19326,-1.298000,0.000389413,359.637041,1.190827416
1698,19321,-1.298000,0.000386261,72.96516789,1.979809348
1703,19316,-1.298000,0.00038279,53.91417287,2.468850894
1708,19311,-1.298000,0.00038036,288.3988229,1.86710019
1713,19306,-1.298000,0.000378826,347.5367995,2.101518954
1718,19301,-1.298000,0.000375415,331.6993426,1.468545314
1723,19296,-1.298000,0.000376099,276.8909228,1.526450404
1728,19291,-1.298000,0.00037903,155.9130464,2.339139887
1733,19286,-1.298000,0.000380161,19.03924005,0.121457328
1738,19281,-1.298000,0.000383169,345.6110371,2.703022208
1743,19276,-1.298000,0.000385183,56.09288345,2.196137163
1748,19271,-1.298000,0.000385408,50.55679621,1.847349205
1753,19266,-1.298000,0.000385393,257.4246535,2.265564133
1758,19261,-1.298000,0.00038519,340.4167291,0.853401557
1763,19256,-1.298000,0.000385181,268.172338,0.618747344
1768,19251,-1.298000,0.000384961,202.0084667,1.956558639
1773,19246,-1.298000,0.000384904,52.32988289,2.784359814
1778,19241,-1.298000,0.000385075,228.2722455,2.413720545
1783,19236,-1.298000,0.000385206,225.9241759,1.051308189
1788,19231,-1.298000,0.000385936,305.3780344,0.810565218
1793,19226,-1.298000,0.000387115,325.0063604,2.233853139
1798,19221,-1.298000,0.000388394,43.70236969,2.16897633
